Address,Club,Lat,Link,Lon,Prov
"6150 176 Street, Surrey, BC V3S 4E7, Canada",Cloverdale Curling Club,49.11427870000001,http:cloverdalecurlingclub.ca,-122.73483940000001,British Columbia
"3010 Place des Loisirs, Sorel, QC, Canada",Club de Curling Aurele Racine,46.017686,http:www.curlingaureleracine.com,-73.148618,Quebec
"C.P. 193, 31 Legardeur, Baie Comeau, QC G4Z 2G9",Club de curling Baie-Comeau,49.216667,,-68.150008,Quebec
"111 Rue Martel, Mont-Saint-Hilaire, QC, Canada",Club de curling Bel-Aire,45.5654123,http:www.curlingbelaire.com,-73.1961571,Quebec
"565 boul. de Montagne Centre Gilles Chabot, Boucherville, QC J4B 5E4",Club de curling Boucherville,45.60502,http:www.curlingboucherville.com,-73.452614,Quebec
"C.P. 506, boul. Springer, Chapais, QC G0W 1H0",Club de curling Chapais (Opemiska),49.781532,,-74.854534,Quebec
"225 ave. du Golf, C.P. 24, Cowansville, QC J2K 3G6",Club de curling Cowansville,45.207009,,-72.745887,Quebec
"182, 10e Avenue Est C.P. 321, Amos, QC J9T 2A7",Club de curling d'Amos,48.566846999999996,http:www.cableamos.comcurlingamos,-78.101778,Quebec
"561 Hatley O., Magog, QC J1X 3G5",Club de Curling de Magog,45.256731,http:curlingmagog.com,-72.14184399999999,Quebec
"C.P. 2114, 235 rue St-Robert, Levis (St. Romuald), QC G6W 3C3",Club de curling Etchemin,46.755018,http:curlingetchemin.brinkster.netinfo.htm,-71.237158,Quebec
"1015, Boul. Ren_-L",Club de curling Jacques Cartier,46.796207,http:www.ccjacquescartier.bizland.com,-71.24080500000001,Quebec
"C.P. 2207, 3852 du Roi Georges",Club de curling Kenogami,54.0,Jonqui,-72.0,Quebec
"C.P. 483, 550 Rue Principale, Lasarre, QC J9Z 3J3",Club de curling La Sarre,48.800096,,-79.201022,Quebec
"69 rue Monfette, Victoriaville, QC G9P 1J8",Club de Curling Laurier,46.062108,,-71.967804,Quebec
"2203 Boulevard des Forges, Trois-Rivi\u00e8res, QC, Canada",Club de curling Laviolette,46.34608970000001,http:www.curlinglaviolette.com,-72.5654935,Quebec
"C.P. 298 162 rue Lapointe, Clermont, QC G4A 1J4",Club de curling Naim,47.693846,,-70.226077,Quebec
851 4ieme Rue,Club de curling Port Alfred,48.332019,"Ville de la Baie, QC G7B 2A6",-70.881287,Quebec
"300 Rue de l'\u00c9glise, Donnacona, QC, Canada",Club de curling Portneuf,46.6795386,,-71.73070569999999,Quebec
"C.P. 134, 360 St-Germain, Rimouski, QC G5L 3N3",Club de curling Rimouski,48.449282000000004,http:www.curlingrimouski.com,-68.529248,Quebec
"1030 de la Gare Ouest, Alma, QC G8L 4L8",Club de curling Riverbend,48.548685,http:www.curlingriverbend.com,-71.651226,Quebec
"C.P. 42, 819, boul de la Travers_e, Roberval, QC G8H 2X3",Club de curling Roberval,48.514559000000006,http:www.curlingroberval.com,-72.224743,Quebec
"C.P. 2132, 218 rue Murdoch, Rouyn-Noranda, QC J9X 5A5",Club de curling Rouyn-Noranda,48.24174,http:cegepat.qc.cacurlingnoranda,-79.02006,Quebec
"C.P. 602, 21 rue Comeau, Sept-Iles, QC G4R 4K7",Club de curling Sept-Iles,50.21141,http:curling.sept-iles.net,-66.37803199999999,Quebec
"1 rue de Golf, Thetford Mines, QC G6G 7Z9",Club de curling Thetford,46.097804,http:www.clubdegolfthetford.com,-71.28941999999999,Quebec
136 rue de Souvenir,Club de curling Vall,54.0,"Maniwaki, QC J9E 2H1",-72.0,Quebec
"449 Rue Curie, Qu\u00e9bec City, QC, Canada",Club de curling Victoria,46.790519,http:www.ccv.qc.ca,-71.30146230000003,Quebec
"7 Boulevard des \u00celes, Port-Cartier, QC, Canada",Club de Curling Port Cartier,50.02121289999999,,-66.87701630000004,Quebec
"2007 - 13 Street, Coaldale, AB T1M 1C4",Coaldale Granite Club,49.726661,http:www.coaldalegraniteclub.com,-112.61184399999999,Alberta
 Hailebury  ON P0J 1K0   ,Cobalt-Haileybury Curling Club,47.46111,http:www.nt.netchcc,-79.674617,Ontario
"800 Griffin Rd E, Cochrane, AB T4C 2B8, Canada",Cochrane Curling Club,51.17600119999999,http:www.cochranecurlingclub.com,-114.45386380000002,Alberta
"405 1st Ave Cochrane, ON P0L 1C0",Cochrane Curling Club,49.058831700000006,,-81.04484530000002,Ontario
"8 Durham St. N, Colborne, Ontario",Colborne Curling Club,44.009830900000004,,-77.8739973,Ontario
 STN FORCES  Cold Lake  AB T9M 2C3  ,Cold Lake Curling Club,54.463491000000005,http:www.coldlakecurlingclub.com,-110.17713700000002,Alberta
 9 Michael Anne Dr.  Coldwater  ON L0K 1E0  ,Coldwater & District Curling Club,44.708046,http:www.coldwatercurlingclub.com,-79.64299799999999,Ontario
"Coleville, SK S0L 0C0",Coleville Curling Club,50.824501,,-107.509599,Saskatchewan
 Courtenay  BC V9N 5N4   ,Comox Valley Curling Club,49.704102,http:www.comoxvalleycurling.com,-125.155902,British Columbia
" 67 Fourth Street  Coniston, ON",Coniston Curling Club,46.4924828,http:www.curlconiston.ca,-80.84440570000001,Ontario
 Consul  SK S0N 0P0   ,Consul Curling Club,49.477443,,-109.715721,Saskatchewan
"12 Saunders St., Cookstown, ON L0L 1L0",Cookstown Curling Club,44.1914271,http:www.cookstowncurlingclub.ca,-79.6994182,Ontario
 Copper Cliff  ON P0M 1N0   ,Copper Cliff Curling Club,46.63701,http:www.curlcoppercliff.com,-81.389957,Ontario
"633 Poirier Street, Coquitlam, BC V3J 6A9",Coquitlam Curling Club,49.254096000000004,http:www.coquitlamcurling.com,-122.846529,British Columbia
 Corner Brook  NL A2H 6J3   ,Corner Brook Curling Assoc.,48.951556,http:cornerbrookcurlingclub.googlepages.comhome,-57.947362,Newfoundland and Labrador
 Cornwall  PE C0A 1H0   ,Cornwall Curling Club,46.242672999999996,http:www.cornwallcurling.com,-63.043471,Prince Edward Island
 220 Water St. East,Cornwall Curling Club,50.070776,Cornwall  ON   ,-85.831221,Quebec
 Coronach  SK S0H 0Z0   ,Coronach Curling Club,49.111564,,-105.523195,Saskatchewan
"5010 King St.,Coronation, AB T0C 1C0",Coronation Curling Club,52.093644399999995,,-111.44592790000002,Alberta
 Lake Cowichan  BC V0R 2G0   ,Cowichan Lake Regional Curling Club,48.824376,http:www.cvrd.bc.caindex.aspx?NID=404,-124.039451,British Columbia
 Cranbrook  BC V1C 4H8   ,Cranbrook Curling Club,49.585952,,-115.832174,British Columbia
