Region,Club,Address,City,State,ZipCode,Type,Sheets,Year_Fnded,Latitude,Longitude
Grand National Curling Club,Curl NYC,5th Ave,Bronx,New York,10465.0,Dedicated,6.0,2013,40.82352,-73.81132
Grand National Curling Club,Ardsley Curling Club,100 N Mountain Dr,Irvington,New York,10533.0,Dedicated,3.0,1932,41.04468,-73.84738
Great Lakes Curling Association,Fort Wayne Curling Club,3837 N Wells St,Fort Wayne,Indiana,46808.0,Dedicated,3.0,2010,41.11238,-85.14815
Grand National Curling Club,Nutmeg Curling Club,123 Glenwood Ave,Bridgeport,Connecticut,6610.0,Dedicated,3.0,1960,41.204358899999995,-73.1876671
Great Lakes Curling Association,Bowling Green Curling Club,19901 N Dixie Hwy,Bowling Green,Ohio,43402.0,Dedicated,4.0,1968,41.4433,-83.65122
Midwest Curling Association,Waltham Curling Club,E 758th Rd,Triumph,Illinois,61371.0,Dedicated,3.0,1884,41.50075,-89.02056999999999
Great Lakes Curling Association,Mayfield Curling Club,1545 Sheridan Rd,South Euclid,Ohio,44121.0,Dedicated,3.0,1962,41.517309999999995,-81.51187
Grand National Curling Club,Cape Cod Curling Club,37 Highfield Dr,Falmouth,Massachusetts,2540.0,Dedicated,3.0,1969,41.55768,-70.62613
Midwest Curling Association,Windy City Curling Club,146 Roosevelt Rd,Villa Park,Illinois,60181.0,Dedicated,3.0,2014,41.860608899999995,-87.9749328
Grand National Curling Club,Norfolk Curling Club,70 Golf Dr,Norfolk,Connecticut,6058.0,Dedicated,2.0,1956,41.98256,-73.21687
Midwest Curling Association,Wilmette Curling Club,700 Vine Ave,Wilmette,Illinois,60091.0,Dedicated,4.0,1968,42.07077,-87.73517
Midwest Curling Association,Chicago Curling Club,555 Dundee Rd,Northbrook,Illinois,60062.0,Dedicated,4.0,1948,42.13777,-87.79352
Midwest Curling Association,Exmoor Curling Club,700 Vine Ave,Highland Park,Illinois,60035.0,Dedicated,4.0,1938,42.1926,-87.81345999999999
Great Lakes Curling Association,Kalamazoo Curling Club,3600 Vanrick Dr,Kalamazoo,Michigan,49001.0,Dedicated,5.0,2008,42.25442,-85.53258000000001
Grand National Curling Club,Broomstones Curling Club,1 Curling Ln,Wayland,Massachusetts,1778.0,Dedicated,4.0,1911,42.34438,-71.3375
Great Lakes Curling Association,Detroit Curling Club,1615 E Lewiston Ave,Ferndale,Michigan,48220.0,Dedicated,4.0,1885,42.46528,-83.11957
Grand National Curling Club,Petersham Curling Club,250 N Main St,Petersham,Massachusetts,1366.0,Dedicated,2.0,1960,42.522259999999996,-72.18269000000001
Wisconsin State Curling Association,Alpine Curling Club,1319 31st Ave,Monroe,Wisconsin,53566.0,Dedicated,2.0,1960,42.598490000000005,-89.62321999999999
Grand National Curling Club,Albany Curling Club,117 W McKown Rd,Albany,New York,12203.0,Dedicated,2.0,1955,42.67564,-73.84565
Grand National Curling Club,Nashua Country Club,25 Fairway St,Nashua,New Hampshire,3060.0,Dedicated,3.0,1928,42.740829999999995,-71.44611
Wisconsin State Curling Association,Racine Curling Club,1914 Melvin Ave,Racine,Wisconsin,53404.0,Dedicated,2.0,1954,42.75598,-87.80542
Grand National Curling Club,Schenectady Curling Club,1084 Balltown Rd,Schenectady,New York,12309.0,Dedicated,4.0,1907,42.80507,-73.89229
Grand National Curling Club,Buffalo Curling Club,91 Buffalo China Rd,Buffalo,New York,14210.0,Dedicated,4.0,2014,42.869040999999996,-78.82402009999998
